Company Name,Description,Headquarters,Country,Website,Industry,Company Size,Specialities,Company Type,Followers
Risser Oil,Risser Oil Corporation distributes petroleum products. ,"Feather Sound, Florida",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Frisseroil%2Ecom&urlhash=rhOE&trk=about_website,Petroleum ,1-50 employees,null,null,10
Stiller Aethetics,"Stiller Aesthetics is committed to providing a safe, caring and understanding environment that promotes self-love, happiness and encourages all to embrace who they truly are.","Spokane, Washington",United States,null,"Health, Wellness & Fitness",null,null,null,null
JM Thompson,"J.M. Thompson Company is a general contracting firm specializing in commercial, industrial and institutional construction projects since 1921.  J.M. Thompson Company's philosophy of providing traditional craftsmanship in modern applications lays the foundation for excellence and ultimately… customer satisfaction.","Cary, North Carolina",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ejmthompson%2Ecom&urlhash=9ATm&trk=about_website,Construction,11-50 employees,"Commercial, Office, Hospitality, Higher Education, K-12 Schools, Industrial, Tenant Fit Ups, Renovations, New Construction, Healthcare, Senior Living, Parking Decks, Religious, Retail, Sports & Recreation, Multi-Family Living, Municipal & State Government, Manufacturing & Distribution, Construction Management, General Contracting, and Guaranteed Maximum Price",Privately Held,"2,866"
Khle CPA,null,null,null,null,null,null,null,null,null
Brookshire Dental,"Hurst Dentist - Looking for a dentist in Hurst, Texas? Comfort, convenience, and highly trained dental staff set our practice apart. Near Keller, TX.","Hurst, TX",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ebrookshiredentistry%2Ecom&urlhash=j03V&trk=about_website,Hospitals and Health Care,2-10 employees,null,null,11
DT TECHNOLOGY LTD,D.T. Technologies develops and produces clamping tools and accessories for machine tool manufacturers.,"Meyrin,�Geneve",Switzerland,https://dttechnologies.eu/en/home,Manufacturing,1-10 employees,null,Privately Held,null
Meli,"Barwon Child, Youth and Family (BCYF) and Bethany have merged. Our new name, Meli, is inspired by the word ‘meliorism’ - the belief that the world can be made better through human effort. 

Meli is a Victorian not-for-profit committed to strengthening communities through supporting people.  We offer a unique combination of services to support members of our community throughout their lifetime, from early childhood through to adolescence and adulthood.

Meli’s heritage and unique combination of services allow for an insightful approach to wellbeing. Using our breadth and depth of expertise to innovate and contribute to our community through preventative, strengthening programs.

Everyone faces challenges occasionally, and Meli is here to lend compassionate help, and to take a preventative and early response approach – no matter how big or small a problem.",Geelong,Australia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emeli%2Eorg%2Eau&urlhash=gT28&trk=about_website,Community Services,"501-1,000 employees",null,Nonprofit,1000
MASON CITY RECYCLING CENTER LTD.,"At Mason City Recycling Center, we work hard to bring you nature’s best insulation resulting in a low dust product. By choosing Comfort-Zone Cellulose Insulation, you are choosing a product that is cost efficient, doesn’t burn, and embodies energy!","Mason City, Iowa",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fmcrecycling%2Ecom&urlhash=Gzdq&trk=about_website,Wholesale,11-50 employees,null,null,4
Amco Metal (Stainless Steel),"Amco Metals is a well established manufacturer, supplier & exporter of superior stainless steel forged fittings for pipe & tubes and other allied products. The company came into existence in the year 1982 and has been engaged in manufacturing of superior quality Welded Pipe Fittings, Threaded Pipe Fittings, Socket Weld Pipe Fittings and Screwed Pipe Fittings. We have been successfully catering to the challenging requirements of diverse industries. Our competent pricing strategy has been appreciated by clients and has enabled us to maintain our lead in this highly competitive market place.","Mumbai,, Maharashtra -",India,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Estainlesssteelforgedfittings%2Ecom%2F&urlhash=tPOL&trk=about_website,Machinery Manufacturing,11-50 employees,"Well equipped manufacturing facilities, Industry leading prices, Technically qualified engineers & professionals, and international standard",Self-Owned,51
Hiesmayr Haustechnik,Hiesmayr Haustechnik GmbH is a company that operates in the Commercial & Residential Construction industry.�,Innsbrusk,"Innsbrusk, Tyrol",Austria,Construction,20-49 employees,null,null,null
LORAN srl,"We contribute towards well-being and social progress, through the conception and development of highly specialised and intuitive conditioning solutions, capable of satisfying our customers' requirements, fully respecting people and the environment.","Isola della Scala, Veneto",Italia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eloranair%2Eit&urlhash=xQPr&trk=about_website,Machinery Manufacturing,51-200 employees,null,Self-Owned,128
Prinsotel Hotels & Apartments,"Family owned business, dedicated for over 30 years to providing unforgettable memories to families and couples by the mediterranean sea.

Located in Mallorca and Menorca, our hotels, apartments and villas are characterized by green and beautiful gardens full of bougainvillea, impeccable service and a wide range of gastronomic experiences.","Palma, Balearic Islands",España,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eprinsotel%2Ees&urlhash=2ckE&trk=about_website,Hospitality,201-500 employees,"hospitality, customer service, tourism, leisure travel, travel, and holidays",Privately Held,835
HAWITA Gruppe GmbH,"The HAWITA Group is a globally operating company with more than 400 employees, eight production states as well as more than 4,500 ha of moor land in Germany and the Baltic states.

Thanks to our consistent company policy, a great deal of expertise and the best employees, we have developed into one of the premium manufacturers of modern horticultural products during our 100 year company history.

Our portfolio serves the “green sector” ranging from gardening enthusiasts to professional horticulturalists. With our name and motto: »Your plants in good hands«, we represent an innovative spirit, top products, customer orientation and complete logistics.","Vechta , Vechta",Deutschland,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ehawita%2Ede&urlhash=9sao&trk=about_website,Farming,201-500 employees,"Gartenbau, Substrate, Erden , Torffrei, Blumenerden, Vliestöpfe, Kunststofftöpfe , pottingsoil, hanging basket, pallettino , Mehrwegsystem, Blumenerden, and Logistik",Public Company,993
International Electro-mechanical Services Co. LLC,"International Electromechanical Services Co. L.L.C. (IEMSC) is a pioneer M.E.P. (MECHANICAL, ELECTRICAL & PLUMBING) Contracting Company with an ISO-9001-2000 certification. The company was founded in the year 1968 and is registered under the Dubai Commercial License No 224454 and its Headquarters are located at Zabeel First, Al Nakheel Building, 3rd Floor 301 and 302 with Branch Office in Abu Dhabi",Dubai,UAE,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eiemsc%2Ecom&urlhash=00Qf&trk=about_website,Construction,"501-1,000 employees",null,Privately Held,3000
Kinematica AG,"From our inception in 1962, innovation has been the driving force behind Kinematica's remarkable journey. Our roots trace back to the visionary mind of Professor Willems, whose groundbreaking rotor/stator invention revolutionized the industry. Since then, Kinematica has elevated this technique to new heights, crafting tailored and engineered solutions that cater to the most intricate demands of various applications.

Our dedication to pushing the boundaries of technology remains unshaken, resulting in the establishment of a de facto standard across multiple industries. Today, our products serve as the cornerstone of quality and performance, benefiting thousands of end users across the globe.  At Kinematica, we are guided by the mantra of ""Homogenizing Perfected."" This core principle fuels our every endeavor as we continually refine our ideas to match evolving industry landscapes. As we step into the future, our focus expands beyond boundaries, embracing the seamless integration of technologies in a ""connected world."" In this realm, we stand unwavering in our commitment to delivering uncompromised quality and performance, a promise we hold sacred to our customers.

We invite you to join us on this exhilarating journey of innovation and excellence. Together, we will create a future filled with mutual success, where the spirit of unwavering commitment binds us in our pursuit of perfection.
Stay tuned as we continue to shape the course of industries, redefine possibilities, and create a brighter tomorrow.","Malters, Luzern",Schweiz/Suisse/Svizzera/Svizra,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ekinematica%2Ech&urlhash=tz1l&trk=about_website,Machinery Manufacturing,11-50 employees,"dispersing, emulsification, emulsion, extraction, samplepreparation, Laboratory, rotorstator, wetgrinding, homogenizer, Immersion Dispersers, Inline Disperser, Highly Scalable Reactors, Mills, Stirrer, Mixer, and Blender",Public Company,"1,291"
BRIGHT WIRES COMPANY,"Over 30 years ago, Bright wires was founded in 1989, it has grown up from providing simple business Electrical & Power systems, to offering value-driven Telecommunication and Electrical products and services, It provides wide range of managed services including Fiber Optic Splicing and Testing .From a Data Patch Cord to the Design & Installation of an entire Telecommunication & Electrical Solutions and Network infrastructure cabling.","Riyadh, Riyadh",موريتانيا,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ebrightwires%2Ecom%2Esa%2Fen%2F&urlhash=Maa6&trk=about_website,International Trade and Development,51-200 employees,null,Partnership,"6,594"
PATTERSON HEALTH CENTER INC,PATTERSON HEALTH CENTER INC is a hospital & health care company based out of Harper County KS,"Anthony, ks",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fpattersonhc%2Eorg&urlhash=zhIH&trk=about_website,Hospitals and Health Care,51-200 employees,null,Nonprofit,95
CODAC Behavioral Healthcare (CODAC Inc.),"CODAC, a non-profit organization based in Rhode Island, has provided treatment, recovery and prevention services to individuals, families and communities for over 40 years.  With seven convenient locations, CODAC is uniquely positioned to provide a wide range of outpatient recovery, treatment and prevention services to adolescents and adults struggling with the challenges of substance abuse, gambling disorders, tobacco use, behavioral healthcare issues, and other addictive or abusive behaviors.","Cranston, RI",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ecodacinc%2Eorg&urlhash=Z-45&trk=about_website,Mental Health Care,201-500 employees,null,Nonprofit,966
Schneider Regional Medical Center,"Schneider Regional Medical Center includes the Roy Lester Schneider Hospital, Myrah Keating Smith Community Health Center, and the Charlotte Kimelman Cancer Institute function as one integrated health system dedicated to providing comprehensive and high-quality care to the residents of the Virgin Islands and visitors of all ages, faiths, and races.","St Thomas, US Virgin Islands",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Esrmedicalcenter%2Eorg%2F&urlhash=h05p&trk=about_website,Hospitals and Health Care,201-500 employees,"Emergency Medicine, Maternal Child Health, Cardiology, Laparoscopic Surgery, General Surgery, Internal Medicine, Pulmonary , InPatient & OutPatient Behavioral Health Services, Physical Rehabilitation, Speech Pathology, Pathology , and Clinical Laboratory Services",Government Agency,665
