Company Name,Company Website,Description,Industry,Revenue,Data Volume,Data Type,Original Content,Country
Benson Kearley IFG - Insurance Brokers & Financial Advisors,http://bkifg.com,"Benson Kearley IFG offers personal and commercial insurance, financial services, and specialty insurance across Ontario.",,> $20 Millions,1.4 TB,"Customer data banks
Medical, Business, Auto and Cyber insurance policies.
Passports and IDs
Data banks of both companies paperwork with its clients, including confidential files, contracts, etc.
Operational data.
Audit data.
Business files.
Accounting data.
HR Folders.
File server data.
Network users folders
Personal and Insurance data of company customers:","Benson Kearley IFG - Insurance Brokers & Financial Advisors
http://bkifg.com
Benson Kearley IFG offers personal and commercial insurance, financial services, and specialty insurance across Ontario.
President and CEO: Stephen Kearley
Business email: skearley@bkfig.com
COO: Douglas Bundock
Business email: dbundock@bkfig.com
Director: Courtney Kearley
Business email: ckearley@bkifg.com
Revenue: > $20 Millions
Data volume: 1.4 TB
Data description:
Customer data banks
Medical, Business, Auto and Cyber insurance policies.
Passports and IDs
Data banks of both companies paperwork with its clients, including confidential files, contracts, etc.
Operational data.
Audit data.
Business files.
Accounting data.
HR Folders.
File server data.
Network users folders
Personal and Insurance data of company customers:",
"Law Offices of Michael J Gurfinkel, Inc",https://gurfinkel.com,"The Law Offices of Michael J. Gurfinkel, Inc. is one of the most respected and successful immigration law firms in America. We take pride that many of our cases are considered miracle casesù that were emergencyù in nature, or were considered too difficultù or impossibleù by other attorneys.",Legal,< $5 Millions,400 Gb,"Clients Personal Data.
Accounting, budget, financial data.
Files from Top Management PC.
Incidents and accidents.
Operational and business files.
Mailboxes & Internal and external email correspondence.","Law Offices of Michael J Gurfinkel, Inc
https://gurfinkel.com
The Law Offices of Michael J. Gurfinkel, Inc. is one of the most respected and successful immigration law firms in America. We take pride that many of our cases are considered miracle casesù that were emergencyù in nature, or were considered too difficultù or impossibleù by other attorneys.
CEO: Michael J. Gurfinkel
Business email: Michael@gurfinkel.com
Mobile Phone: +1 (818) 630-4997
Attorney: Marat Kleiner
Business email: Marat@gurfinkel.com
Mobile Phone: +1 (818) 630-4936
Revenue: < $5 Millions
Data volume: 400 Gb
Data description:
Clients Personal Data.
Accounting, budget, financial data.
Files from Top Management PC.
Incidents and accidents.
Operational and business files.
Mailboxes & Internal and external email correspondence.
Data of this company will be available soon. It will be published block by block, so stay tuned for updates of this company daily
us
law
",USA
Stein Fibers,https://steinfibers.com,"Founded in 1976, Stein Fibers, Ltd. is a supplier and producer of polyester fiberfill and nonwoven fibers in North America.",,,,,"Stein Fibers
https://steinfibers.com
Founded in 1976, Stein Fibers, Ltd. is a supplier and producer of polyester fiberfill and nonwoven fibers in North America.
CEO: Chip Stein
Cell Phone: +1-518-322-7216",
Majestic Metals,https://fathommfg.com/fathom-denver,"Majestic Metals is a precision sheet metal fabrication services provider. Formed in 1979, Majestic Metals has evolved into one of the most progressive, single-source suppliers of custom, precision sheet metal products in the nation.",Manufacturing,$24.1 Millions,735 GB,"Finance data
HR data
Partners and customers data
Engineering and technologies
Mailboxes
Internal and external email correspondence
Databases
Business data
CAD files
Finance data
Graphic data
Technical data","Majestic Metals
https://fathommfg.com/fathom-denver
Majestic Metals is a precision sheet metal fabrication services provider. Formed in 1979, Majestic Metals has evolved into one of the most progressive, single-source suppliers of custom, precision sheet metal products in the nation.
Supervisor: Stacey Kelley
Cell Phone: +1-303-638-9752
Cell Phone: +1-720-974-3121
Supervisor: Douglas Roberts
Supervisor: David Roberts
Supervisor: David Roberts
Cell Phone: +1-303-921-8662
Revenue: $24.1 Millions
Data Volume: 735 GB
Data description:
Finance data
HR data
Partners and customers data
Engineering and technologies
Mailboxes
Internal and external email correspondence
Databases
Business data
CAD files
Finance data
Graphic data
Technical data
Link to download the rest data. Use i2p network to download it.
Majestic Metals
usa
manufacturing


--- ZIP File Summary ---
fathommfg.com_business_1.zip: 8 zip files
fathommfg.com_cad_1.zip: 165 zip files
fathommfg.com_finance_1.zip: 15 zip files
fathommfg.com_graphics_1.zip: 15 zip files
fathommfg.com_technical_1.zip: 26 zip files",USA
Ladov Law Firm,,Ladov Law Firm PC is a company that operates in the Law Firms & Legal Services industry.,Legal,<$5 Millions,105 GB,"HR data
Casefiles
Court and litigations data
Exhibits
Clients PII data
Mailboxes and internal & external email correspondence","Ladov Law Firm
Ladov Law Firm PC is a company that operates in the Law Firms & Legal Services industry.
Revenue: <$5 Millions
Data Volume: 105 GB
Data description:
Finance data
HR data
Casefiles
Court and litigations data
Exhibits
Clients PII data
Mailboxes and internal & external email correspondence
usa
law
legal
",USA
HDI,,"HDI is a diversified, global mining group with more than 25 years of mineral development success.",Mining,$100 Millions,9.5 TB,"Multiple affiliated companies data
Wide companies and their projects financial data
HR data
Partners and vendors data
Engineering data
Incidents and injuries data
Litigations data
Restricted data
Geological data
Data of projects and business operating in Africa/CIS and EU contries/Brazil/China and other regions
Minerals/graphite/silver/gold and other materials mining fields data
Mailboxes and internal & external email correspondence
Databases","HDI
HDI is a diversified, global mining group with more than 25 years of mineral development success.
Revenue: $100 Millions
Data Volume: 9.5 TB
Data description:
Multiple affiliated companies data
Wide companies and their projects financial data
HR data
Partners and vendors data
Engineering data
Incidents and injuries data
Litigations data
Restricted data
Geological data
Data of projects and business operating in Africa/CIS and EU contries/Brazil/China and other regions
Minerals/graphite/silver/gold and other materials mining fields data
Mailboxes and internal & external email correspondence
Databases
canada
mining
",Canada
GCA Global Cargo Alliance,https://gcargo.com,"GCA Global Cargo Alliance, a leading freight forwarder in the logistics market established in 1994, is a customer-dedicated company that delivers premium service at very competitive prices.",,,,,"GCA Global Cargo Alliance
https://gcargo.com
GCA Global Cargo Alliance, a leading freight forwarder in the logistics market established in 1994, is a customer-dedicated company that delivers premium service at very competitive prices.
President: Jamil Atallah
Cell Phone: +1-786-556-5043",
"Smart Source, Inc.",https://smartsource-inc.com,"SmartSource is a leading provider of technology talent, multi-site deployments, and technical solutions. They provide both the people and processes needed for VARs and OEMs to grow and win with technology.",IT,> $80 Millions,700 Gb,"NDA
Financial data
Clients data
QuickBooks
Email archive","Smart Source, Inc.
https://smartsource-inc.com
SmartSource is a leading provider of technology talent, multi-site deployments, and technical solutions. They provide both the people and processes needed for VARs and OEMs to grow and win with technology.
CEO: Joe Iovinelli
Business email: jiovinelli@smartsource-inc.com
Mobile Phone:  +1 (630) 818-1046
President: Tony Iovinelli
Business email: tiovinelli@smartsource-inc.com
Mobile Phone: +1 (630) 373-1532
VP of Strategy & Dvlpmnt: Keith Giffney
Business email: kgiffney@smartsource-inc.com
Mobile Phone: +1 (630) 926-8460
Revenue: > $80 Millions
Data volume: 700 Gb
Data description:
NDA
Financial data
Clients data
QuickBooks
Email archive
Data of this company will be available soon. It will be published block by block, so stay tuned for updates of this company daily
usa
it
",USA
Battle Lumber Co.,,"Battle Lumber Co., Inc is a lumber supply company that provides modern hardwood grade lumber & pallets.",Manufacturing,$106 Millions,1.1 TB,"Finance data
HR data
Partners and vendors data
Clients and customers data
Engineering
PII and PHI records
Incidents and accidents data
Mailboxes and internal & external email correspondence","Battle Lumber Co.
Battle Lumber Co., Inc is a lumber supply company that provides modern hardwood grade lumber & pallets.
Revenue: $106 Millions
Data Volume: 1.1 TB
Data description:
Finance data
HR data
Partners and vendors data
Clients and customers data
Engineering
PII and PHI records
Incidents and accidents data
Mailboxes and internal & external email correspondence
usa
manufacturing
",USA
Anniversary Holding,,Holding Companies & Conglomerates.,Conglomerate,$5 Millions,2.9 TB,"Finance data
HR data
Four of AHCLAs relative companies data
Partners, vendors, and customers data
PII and PHI records (including injury reports, health and medical records)
Mailboxes
Internal and external email correspondence
Business data
Finance data
Private & Confidential
Technical data","Anniversary Holding
Holding Companies & Conglomerates.
President: James Glasgow
Cell Phone: +1-337-344-6960
Cell Phone: +1-337-837-4567
Property Manager: Glenda Glasgow
Cell Phone: +1-337-298-3650
Cell Phone: +1-337-261-0961
CFO: Brad Cohen
Cell Phone: +1-337-344-3600
Cell Phone: +1-337-456-8500
Dynasty Energy Services Executive Vice President: Keith Alexander
Cell Phone: +1-713-817-9187
Cohesive Connections President: Kevin Cohen
Cell Phone: +1-337-278-9364
Revenue: $5 Millions
Data Volume: 2.9 TB
Data description:
Finance data
HR data
Four of AHCLAs relative companies data
Partners, vendors, and customers data
PII and PHI records (including injury reports, health and medical records)
Mailboxes
Internal and external email correspondence
Business data
Finance data
Private & Confidential
Technical data
The rest data coming soon.
usa
conglomerate


--- ZIP File Summary ---
ahclallc.com_business_1.zip: 30 zip files
ahclallc.com_finance_1.zip: 76 zip files
ahclallc.com_private_confidential_1.zip: 21 zip files
ahclallc.com_technical_1.zip: 48 zip files",USA
