CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
Benson Kearley IFG - Insurance Brokers & Financial Advisors,http://bkifg.com,,"Newmarket, ON",,"Benson Kearley IFG is an independent insurance agency leaders at the top of our game, with our feet planted firmly in our community. We provide all lines of personal, commercial and specialty insurance, including plans specifically designed by us for the plastics manufacturing and information technology industries. We treat multi-national organizations with the same uncompromising respect as a local small business owner. We are your Partners In Risk. Your health is our health.

When Benson Kearley merged with IFG in 2011, the core ethical pillars of each parent brokerage reinforced our customer philosophy, ""It's all about our customer"". These are our core values: 

We regard it as a privilege to serve our clients.

Uncompromising integrity and pride in everything we do.

We value each employee as an individual, 
providing an environment to be the best they can be.

Passionate about giving back.

We celebrate our success.


www.Facebook.com/BensonKearleyIFG",51-200 employees,,,1.4 TB,"PII, Customer and Client Data, Employee and HR data, Healthcare Data",BianLian
"Law Offices of Michael J Gurfinkel, Inc",https://gurfinkel.com,Legal,"GLENDALE, California",United States,"The Law Offices of Michael J. Gurfinkel, Inc. is one of the most respected and successful immigration law firms in America",11-50 employees,,,400 Gb,"PII, Customer and Client Data, Sensitive Communication",BianLian
Stein Fibers,https://steinfibers.com,,"Albany, New York",,"OUR MISSION

Stein Fibers, Ltd. has a straightforward mission: to meet our customers fiber requirements by combining the most extensive in-stock product offerings in the marketplace with unsurpassed responsiveness.

WORLDWIDE SERVICE

Now in our 5th decade, we are among the largest suppliers and producers of polyester fiberfill and non-woven fibers in North America, with annual shipments exceeding 500 million pounds.

GREEN INITIATIVE

With global sourcing strategies, long-term relationships, contacts to overseas suppliers, and domestic production facilities, Stein Fibers, Ltd. is a distributor of polyester as well as a domestic producer with a green focus.",201-500 employees,,,,,BianLian
Majestic Metals,https://fathommfg.com/fathom-denver,Manufacturing,Colorado,United States,"We manufacture complete metal buildings and metal building systems for industrial, commercial, agricultural and residential use.",51-200 employees,,,735 GB,"Customer and Client Data, Employee and HR data, Databases, Sensitive Communication",BianLian
Ladov Law Firm,,Legal,"Philadelphia, Pennsylvania",United States,"Located in the heart of Philadelphia, Ladov Law is a boutique law firm specializing in commercial and real estate litigation and transactions, creditors rights and business disputes.",1-50 employees,,,105 GB,"PII, Customer and Client Data, Employee and HR data, Legal Documents, Sensitive Communication",BianLian
HDI,,Mining,"Vancouver, British Columbia",Canada,"Companies from the trading, manufacturing and service industries need an insurance partner they can rely on.  HDI has been one of the leading insurers, offering a broad and needs-based range of insurance solutions and accompanying services for more than ten decades. 

HDI Global SE is the flagship company of the Industrial Clients Division of Talanx Group. Along with other affiliated ""HDI"" entities, the company is part of TALANX Group which works successfully as a multi-brand provider in the segments of Property/Casualty and Life Primary Insurance, Non-Life & Life/Health Reinsurance (Hannover Re) and Financial Services.

HDI Global SE is the strong partner for B2B services in the Insurance and Risk Management sectors. We are a one-stop shop for innovative solutions geared to a client's specific needs. HDI develops bespoke insurance concepts precisely tailored to the operating risks facing every size and type of company. Comprehensive risk management designed to prevent losses and damage occurring, just as much from part of the company's reliable service, as professional and prompt claims management.

The company, with its headquarters in Germany, generates more than half of its premium volume internationally. Europe is its core market and here HDI is represented in 39 countries, employing around ~5,000 people. In line with this international focus, the former HDI-Gerling Industrie Versicherung AG changed its name to HDI Global SE in 2016. Branches, subsidiaries and affiliates the world over have also been renamed to ensure a uniform corporate image. The company now operates worldwide under the HDI brand.","5,001-10,000 employees",,,9.5 TB,"Employee and HR data, Legal Documents, Databases, Sensitive Communication",BianLian
GCA Global Cargo Alliance,https://gcargo.com,,"Miami, Florida",,"GCA Global Cargo Alliance, a leading freight forwarder in the logistics market established in 1994, is a customer-dedicated company that delivers premium service at very competitive prices. With headquarters in Miami, FL, GCA represents the best shipping solution for your business.

The business started as a courier company, shipping packages from Miami to Latin America. As the business grew, the customers needs became more and more demanding; contributing to what GCA has now evolved to. GCA currently offers shipping solutions to customers all over the world; relying on a professional network of agents that represent GCA in the 5 continents.

In 2007, and thanks to the companys continuous growth, GCA relocated to a 45.000 Sq. Ft. CFS (Container Freight Station) fully bonded warehouse, expanding its capacity to receive, store and handle your shipments no matter their size or contents.

GCA is an NVOCC and OTI, which does not only offer a well maintained know-how in the logistics operations, but also a professional staff qualified enough to assure an appropriate handling of your cargo in Air, Ocean, Ground, and Courier transportation. GCAs involvement in various international trade networks links us to many service providers throughout the globe, reinforcing our drive to provide transnational end-to-end logistics solutions to our customers.",201-500 employees,,,,,BianLian
"Smart Source, Inc.",https://smartsource-inc.com,IT,Illinois,United States,"Whether staffing skilled IT professionals across todays software development life cycle and infrastructures environments or helping businesses install, update and maintain millions of tech systems and devices, we outdo IT services and delivery because of our talent, endless hustle and unmatched tech industry experience.",51-200 employees,,,700 Gb,"Customer and Client Data, Employee and HR data, Sensitive Communication",BianLian
Battle Lumber Co.,,Manufacturing,"Wadley, GA",United States,"Since 1962, weve been at the forefront of the timber industry, making numerous strides over the decades to take us from a local mill with a staff of 8 to an international supplier employing over 400 on our 462-acre home in Wadley, Georgia.

From grade lumber to pallets, Battle Lumber Company consistently produces quality products renowned the world over.","501-1,000 employees",,,1.1 TB,"PII, Customer and Client Data, Employee and HR data, Sensitive Communication",BianLian
Anniversary Holding,,Conglomerate,Louisiana,United States,"Anniversary is a small startup with big aspirations. We like surprises and we love technology, so we decided to combine the two to create a fun way to share our favorite moments with our favorite people. We believe that the word Anniversary is too limited in scope, and that any moment that makes us smile deserves an Anniversary, too. So next time you find yourself smiling, take a picture or video, select your friends, and choose a delivery date. Everyone loves a good surprise. Available soon for iOS.",2-10 employees,,,2.9 TB,"PII, Customer and Client Data, Employee and HR data, Sensitive Communication, Healthcare Data",BianLian
