Company_Name,Website,Industry,HQ,Country,Description (Linkedin),Company Size,Date_Victimsed,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
RISSER OIL,http://https//risseroil.com/,Utilities,"Feather Sound, Florida",United States,Risser Oil Corporation distributes petroleum products. ,1-50 employees,"AUG 29, 2024",17723,200,['unknown'],Qilin
STILLER AESTHETICS,http://www.stilleraesthetics.com/,Healthcare,"Spokane, Washington",United States,"Stiller Aesthetics is committed to providing a safe, caring and understanding environment that promotes self-love, happiness and encourages all to embrace who they truly are.",,"AUG 29, 2024",17177,249,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
JM THOMPSON,http://https//jmthompson.com/,Construction,"Cary, North Carolina",United States,"J.M. Thompson Company is a general contracting firm specializing in commercial, industrial and institutional construction projects since 1921.  J.M. Thompson Company's philosophy of providing traditional craftsmanship in modern applications lays the foundation for excellence and ultimatelyâ¦ customer satisfaction.",11-50 employees,"AUG 28, 2024",15133,61,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases', 'Utility and Infrastructure Data']",Qilin
KAHLE CPA,http:// www.kahle-cpa.com,Financial Services,"Florida, United States",United States,"Kahle CPA PA offers accounting, taxation, quickbooks, retirement planning, wealth management, bank financing, and outsourced CFO services.",,"AUG 26, 2024",7656,426,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
BROOKSHIRE DENTAL - HOSPITALS & CLINICS,http://www.brookshiredental.com/,Healthcare,"Hurst, TX",United States,"Hurst Dentist - Looking for a dentist in Hurst, Texas? Comfort, convenience, and highly trained dental staff set our practice apart. Near Keller, TX.",2-10 employees,"AUG 26, 2024",20565,95,"['PII', 'Employee and HR data', 'Databases', 'Healthcare Data']",Qilin
DT-TECHNOLOGIES,http:// www.dttechnologies.eu,Manufacturing,"Meyrin,ÊGeneve",Switzerland,D.T. Technologies develops and produces clamping tools and accessories for machine tool manufacturers.,1-10 employees,"AUG 25, 2024",21025,429,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Intellectual Property', 'Databases', 'Utility and Infrastructure Data']",Qilin
MELI (BCYF & BETHANY),http://https//www.meli.org.au/,Community Services,Geelong,Australia,"Barwon Child, Youth and Family (BCYF) and Bethany have merged. Our new name, Meli, is inspired by the word âmeliorismâ - the belief that the world can be made better through human effort. 

Meli is a Victorian not-for-profit committed to strengthening communities through supporting people.  We offer a unique combination of services to support members of our community throughout their lifetime, from early childhood through to adolescence and adulthood.

Meliâs heritage and unique combination of services allow for an insightful approach to wellbeing. Using our breadth and depth of expertise to innovate and contribute to our community through preventative, strengthening programs.

Everyone faces challenges occasionally, and Meli is here to lend compassionate help, and to take a preventative and early response approach â no matter how big or small a problem.","501-1,000 employees","AUG 21, 2024",20667,215,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
MASON CITY RECYCLING CENTER,http://www.mcrecycling.com/,Utilities,"Mason City, Iowa",United States,"At Mason City Recycling Center, we work hard to bring you natureâs best insulation resulting in a low dust product. By choosing Comfort-Zone Cellulose Insulation, you are choosing a product that is cost efficient, doesnât burn, and embodies energy!",11-50 employees,"AUG 19, 2024",18533,0,"['Financial Data', 'Legal Documents']",Qilin
AMCO METAL INDUSTRIAL CORPORATION,http://amcocorporation.com/,Manufacturing,"Mumbai,, Maharashtra -",India,"Amco Metals is a well established manufacturer, supplier & exporter of superior stainless steel forged fittings for pipe & tubes and other allied products. The company came into existence in the year 1982 and has been engaged in manufacturing of superior quality Welded Pipe Fittings, Threaded Pipe Fittings, Socket Weld Pipe Fittings and Screwed Pipe Fittings. We have been successfully catering to the challenging requirements of diverse industries. Our competent pricing strategy has been appreciated by clients and has enabled us to maintain our lead in this highly competitive market place.",11-50 employees,"AUG 16, 2024",20750,24,"['Customer and Client Data', 'Legal Documents', 'Databases']",Qilin
HIESMAYR HAUSTECHNIK,http://www.hiesmayr.at/,Construction,Innsbrusk,"Innsbrusk, Tyrol",Hiesmayr Haustechnik GmbH is a company that operates in the Commercial & Residential Construction industry.Ê,20-49 employees,"AUG 16, 2024",20727,32,['Utility and Infrastructure Data'],Qilin
LORANSRL,http://https//www.loransrl.eu,Manufacturing,"Isola della Scala, Veneto",Italia,"We contribute towards well-being and social progress, through the conception and development of highly specialised and intuitive conditioning solutions, capable of satisfying our customers' requirements, fully respecting people and the environment.",51-200 employees,"AUG 15, 2024",20845,24,['Customer and Client Data'],Qilin
WWW.PRINSOTEL.COM,http://www.prinsotel.com/,Hospitality,"Palma, Balearic Islands",Spain,"Family owned business, dedicated for over 30 years to providing unforgettable memories to families and couples by the mediterranean sea.

Located in Mallorca and Menorca, our hotels, apartments and villas are characterized by green and beautiful gardens full of bougainvillea, impeccable service and a wide range of gastronomic experiences.",201-500 employees,"AUG 15, 2024",20564,17,['Customer and Client Data'],Qilin
HAWITA-GRUPPE,http://https//hawita.de,Hospitality,"Vechta , Vechta",Germany,Hawita Gruppe GmbH is a company that operates in the Fitness & Dance Facilities industry. It employs 250to499 people and has 50Mto100M of revenue,201-500 employees,"AUG 15, 2024",18345,367,['Databases'],Qilin
IEMSC.COM,http://https//iemsc.com,Construction,Dubai,UAE,"International Electromechanical Services Co. L.L.C. (IEMSC) is a pioneer M.E.P. (MECHANICAL, ELECTRICAL & PLUMBING) Contracting Company with an ISO-9001-2000 certification. The company was founded in the year 1968 and is registered under the Dubai Commercial License No 224454 and its Headquarters are located at Zabeel First, Al Nakheel Building, 3rd Floor 301 and 302 with Branch Office in Abu Dhabi","501-1,000 employees","AUG 15, 2024",14940,152,['Databases'],Qilin
