CompanyName,Website,Industry,Country,Company Description,DateVictimised,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
Software Engineering Associates,www.seadeo.com,Business Services, United States,Software Engineering Associates.,31/8/24,6368,18,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Precom,www.precom-inc.com,Telecommunications, United States,"Based in Boise, Idaho and serving the Northwest since 1993, Precision Communications dba PRECOM is a locally woman owned and operated voice and data communications company. PRECOM has earned a reputation for building industry leading communication technologies from small businesses to large enterprises.",30/8/24,6765,28,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Microchip Technology,www.microchip.com,Electronics Manufacturing, United States,"Microchip Technology Incorporated is a leading provider of smart, connected and secure embedded control solutions. Its easy-to-use development tools and comprehensive product portfolio enable customers to create optimal designs, which reduce risk while lowering total system cost and time to market.",29/8/24,6706,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Policy Administration Solutions,www.pasolutions.com,Insurance, United States,"Founded in 1996, Policy Administration Solutions specializes in state-of-the-art automation solutions for insurance carriers, sureties and large Managing General Agents (MGAs)",26/8/24,7655,31,"['PII', 'Customer and Client Data', 'Financial Data']",Play
RCG,www.rcg-llc.com,Real Estate, United States,RCG Corporate is a company that operates in the Real Estate industry.,26/8/24,7709,345,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Armour Coatings,www.armourcoatings.com,Textile Manufacturing, United States,"Founded in 2003 and located in Germantown Wisconsin, Armour Coatings is a multi-metal job shop custom powder coater and sandblaster. Armour Coatings operates from a 45,000 sq. ft. facility that employs the latest technologies for part cleaning, powder delivery and curing of finishes.",26/8/24,7824,42,"['PII', 'Customer and Client Data', 'Financial Data']",Play
The SMS Group,www.thesmsgroup.com,Information Technology & Services, United States,"Established in 1988, The SMS Group embarked on its journey with a dedicated team focused on delivering systems integration solutions to local manufacturing businesses within a fifty-mile radius of Sidney, Ohio. Over the years, our reach has expanded, and today we proudly serve businesses worldwide. Recognized as a leader in data collection integration, we tackle customer challenges through a combination of network expertise, custom software and solutions, adaptable for both mobile and traditional devices.",26/8/24,7634,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Erie Meats,www.eriemeats.com,Food Production, Canada,"For over 45 years, Erie Meats have made delicious feel good food for Canadian Families. Our history, disciplined entrepreneurial drive, passion, and vision for the future sets us apart. Erie Meats is a privately owned & operated Canadian company with headquarters in Mississauga, Ontario and processing facilities in both Mississauga and Listowel, Ontario.",19/8/24,9210,397,"['PII', 'Customer and Client Data', 'Financial Data']",Play
CinemaTech,www.mycinematech.com,Design Services, United States,"CinemaTech, Inc. continues to be recognized as the unparalleled leader in high-end, home theater seating. Along with this well-earned distinction, CinemaTech has expanded over the years to provide additional theater products to the most discriminating of customers. CinemaTech, Inc. provides a complete aesthetic solution to luxury home theaters.",19/8/24,9223,26,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Adina Design,www.adinareyter.com,Interior Design, United States,Jewelry & Watch Retail,19/8/24,9133,17,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Air International Thermal Systems,www.ai-thermal.com,Motor Vechicle Manufacturing, United States,"Air International Thermal Systems has been keeping people cool and comfortable since 1967. We design, develop and supply high quality, high value thermal systems to automotive OEM's across four continents. We deliver heating ventilation & air conditioning (HVAC), power-train cooling (PTC), and electric & hybrid vehicle battery thermal management (BTM) systems.",19/8/24,9169,164,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Parker Development Company,www.parkerdevco.com,Housing and Community Development, United States,Parkers Developers is a construction company.,19/8/24,9171,42,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Mill Creek Lumber,www.millcreeklumber.com,Wholesale Building Materials, United States,Mill Creek Lumber core business is furnishing framing exterior envelope and complete millwork packages to new residential construction and light commercial.,16/8/24,9073,167,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Grid Subject Matter Experts,www.gridsme.com,Utilities, United States,GridSME - Grid Subject Matter Experts - Facilitating Change in Our Industry The electric industry is undergoing change at an unprecedented rate.,18/8/24,6763,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
TelPro,www.telpro1.com,Telecommunications, United States,"TelPro, Inc. is a technology firm that provides consulting, design, project management, system integration, installation and operations for data centers, engineering labs, industrial, warehousing, retail space, education, hospitality, campus, healthcare, and enterprise office environments. TelPro was founded in 1980 and deploys a large variety of services including architecture, electrical, mechanical, commissioning, fire protection, system monitoring, network cabling infrastructures, wireless LANâs and VoIP telephony.",16/8/24,9346,228,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Nilorngruppen AB,www.nilorn.com,Textile Manufacturing, Sweden,"Attractive labelling solutions, hangtags that convey visual identity, and exclusive packaging â with us, the possibilities are endless. We design and produce customised labels, hangtags, packaging and information labels according to your specific requirements.",15/8/24,9738,288,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Credible Group,crediblegroup.com,Furniture and Home Furnishings Manufacturing, Canada,Credible Group has an extensive client list from The United Nations to world-class hotels like MGM dotting the Las Vegas strip; the brand has built an international presence in its 25 years of operation. The brand has worked with some of the most notable designers to create pieces that stand out and built to last due to the teamâs extensive engineering background and great awareness of how people and environmental factors interact with each of their pieces.,15/8/24,9733,205,"['PII', 'Customer and Client Data', 'Financial Data']",Play
KinetX,www.kinetx.com,Defense & Space, United States,"KinetX is the first commercial company to provide mission design and navigation services for NASAâs deep space missions by bringing winning solutions to our partnerâs competitive mission proposals. KinetX is also a world leader in the innovative design, development and operation of complex systems of spacecraft and telecommunications systems.",11/8/24,10356,31,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Granit Design,www.granitdesign.com,Construction, Canada,"Granit Design is the largest North American manufacturer of natural stone, quartz and ultra-compact surface made-to-measure projects.",11/8/24,10331,69,"['PII', 'Customer and Client Data', 'Financial Data']",Play
True Blue Environmental,www.trueblueenvironmental.com,Enviromental Services, United States,"At True Blue we are committed to providing quality remediation and civil construction services throughout the Northeast by offering safe, competitive, reliable, efficient and friendly service to our clients. We specialize in environmental remediation, building demolition, hazardous materials removal, site construction, UST removal and replacement and wetlands restoration with a special emphasis on manufactured gas plant sites.",11/8/24,10333,69,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Alternate Energy,www.alternateenergyhawaii.com,Renewables & Environment, United States,"Founded in 1993 by the Ekimura Family, Alternate Energy, Inc. has been growing slowly and steadily for more than 30 years, becoming a front-runner in Hawaii's renewable energy revolution. AEI is driven by the knowledge that more renewable and energy efficiency installations, like solar, means less dependence on expensive oil and electricity. Solar allows Hawaii families and businesses to keep more of their hard-earned dollars.",11/8/24,10206,169,"['PII', 'Customer and Client Data', 'Financial Data']",Play
OfficeOps,www.officeops.com,IT Services and IT Consulting, United States,"OfficeOps is a nationwide provider of business software and consulting services, delivering exceptional enterprise value through effective technology implementation. OfficeOps applies its industry knowledge and best practices philosophy to provide ERP, B2B eCommerce and technology solutions throughout the United States. As a Microsoft Certified Partner,",29/7/24,12814,12,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Odyssey Fitness Center,www.odysseyfitnesscenter.com,Wellness and Fitness Services, United States,Odyssey Fitness Center is a company that operates in the Fitness & Dance Facilities industry.,29/7/24,12778,15,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Golden Business Machines,www.goldenbusiness.com,Retail Office Equipment, United States,"The Document Efficiency Specialists Golden Business Machines, Inc. (GBM), is a leading provider of copier, fax, computer, printer, scanner, document management, and networking solutions to large, medium, and small organizations throughout Northeastern and Central Pennsylvania as well as the Lehigh Valley.",29/7/24,12744,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Gendron & Gendron,www.gendroncorp.com,Construction, United States,"When you think of commercial construction companies in the Lewiston-Auburn area, you probably think of Gendron & Gendron. We are a well-known and well-respected commercial construction company located in Lewiston, Maine, and we serve the local communities as well as the wider area of Southern Maine, traveling as far as 50 miles for our projects. The Gendron family has been a significant real estate owner, developer, and contractor in the Lewiston-Auburn area since 1971, when it was co-founded by Del Gendron.",29/7/24,12649,107,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Gateway Extrusions,www.gwextrusions.com,Wholesale Building Materials, United States,"Gateway Extrusions offers a wide range of aluminum extrusion services, from design through production, finishing and packaging, to the residential and commercial building and industrial product markets.",29/7/24,12559,126,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Williams Construction,www.williamsconst.com,Construction, United States,"Founded in 1980, Williams Construction Company has a rich history of serving clients across America. As a family-owned design-build construction firm, we pride ourselves on delivering superior customer service and satisfaction.",29/7/24,12567,113,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Compact Mould,www.compactmould.com,Plastics Manufacturing, Canada,"Compact Mould Ltd. is a Canadian-based manufacturer of high quality Extrusion Blow Molds, Stretch Blow Molds, and Injection Stretch Blow molds. We can offer a full range of services, including preform and bottle design, mold design, prototype tooling, high volume production tooling, as well as mold repairs, maintenance and modifications.",29/7/24,12566,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
The Computer Merchant,www.itstaffing.com,Business Services, United States,"The Computer Merchant, LTD.The Computer Merchant, Ltd. offers technology and enterprise staffing services.",29/7/24,12647,160,"['PII', 'Customer and Client Data', 'Financial Data']",Play
MIPS Technologies,www.mips.com,Electronics Manufacturing, United States,"MIPS is a compute IP company with more than two decades of experience. Breaking down the barriers of closed and in-flexible architectures, MIPS designs efficient and configurable compute Cores for automotive, data center and embedded systems.",19/7/24,14203,68,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Hayden Power Group,www.haydenpower.com,Contruction, United States,"To be the Employer and Contractor of Choice by safely providing the best electrical services in the industry, creating successful projects with highly skilled, committed, and engaged teams, focused on excellent employee and customer satisfaction.",19/7/24,14128,68,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Congoleum,www.congoleum.com,Manufacturing, United States,"Congoleum, founded in 1886 and headquartered in Mercerville, NJ, develops and manufactures residential and commercial flooring products.",22/7/24,13198,278,"['PII', 'Customer and Client Data', 'Financial Data']",Play
T P C I,www.tpicorp.com,Construction, United States,"TPI Corporation is a U.S. based privately held manufacturer that offers heaters, fans, lights, controls, and process heat.",13/7/24,15605,839,"['PII', 'Customer and Client Data', 'Financial Data']",Play
The 21st Century Energy Group,www.21stcenturyenergygroup.com,Utilities, United States,"The 21st Century Energy Group Delivers and Services Lawrence, Mercer, Crawford, Erie, Beaver, Allegheny, Westmoreland, Somerset, Butler, Armstrong.",18/7/24,15375,54,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Texas Electric Cooperatives,www.texas-ec.org,Oil and Gas, United States,TEC was established in 1941 as a coalition of electric cooperatives formed to have greater bargaining leverage with power suppliers.,18/7/24,15353,280,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Hyperice,www.hyperice.com,Utilities, United States,Manufacturer of equipment for athletes.,16/7/24,15201,27,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Fareri Associates,www.fareriassociates.com,Real Estate, United States,"Fareri Associates, LP is a highly-regarded, well-established, developer, owner and manager of fine commercial and residential real estate in New York.",11/7/24,16569,76,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Prairie Athletic Club,www.prairieathletic.com,Hospitality, United States,"Prairie Athletic Club is Wisconsins largest single recreational fitness club with over 200,000 sq. feet of facilities.",11/7/24,16561,139,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Innerspec Technologies,www.innerspec.com,Software, United States,"Founded in 1989, Innerspec Technologies designs, manufactures, and commercializes non-destructive testing systems using proprietary technology.",11/7/24,16535,216,"['PII', 'Customer and Client Data', 'Financial Data']",Play
INDA's,www.inda.org,Membership Organizations, United States,"INDA, the Association of the Nonwoven Fabrics Industry, serves hundreds of member companies in the nonwovens/engineered materials industry to achieve business growth. Since 1968, INDA helps members convene and connect, innovate and develop their businesses.",11/7/24,16578,87,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Texas Recycling,www.texasrecycling.com,Non-profict Organizations, United States,"Family-owned and operated business for 25+ years in the DFW area. Recyclers of paper, metals, corrugated, industrial plastic and electronics.",11/7/24,16541,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Elyria Foundry,www.elyriafoundry.com,Paper and Forest Product Manufacturing, United States,"Elyria Foundry and Hodge Foundry's top engineering experts partner with you on solutions-based design and development. We have the process documentation in place to make high quality, repeatable parts, and we have the overall capacity to meet your needs.",14/7/24,16513,70,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Custom Concrete,www.customconcrete.com,Construction, United States,"Custom Concrete has been creating foundations for the finest homes, commercial buildings and industrial facilities throughout Central Indiana since 1969. Builders, contractors and homeowners depend on our expertise because so much depends on getting it right.",26/6/24,18561,417,"['PII', 'Customer and Client Data', 'Financial Data']",Play
ProMotion Holdings,www.promotionholdings.com,Legal Services, United States,"ProMotion Holdings Global, Inc. is a provider of communications consulting and content technology solutions for corporate, non-profit, and legal ma rkets. The company combines technology with talent to provide unique creative solutions for clients.",26/6/24,18641,56,"['PII', 'Customer and Client Data', 'Financial Data']",Play
RRCA Accounts Management,www.rrcaaccounts.com,Finance, United States,"RRCA Accounts Management, Inc., is a full-service collection agency serving businesses along the Lincoln Highway between DeKalb, Illinois, and Clin ton, Iowa. We have been successful in the collection business since 1979, offering a full range of collection services including an in-house attorney.",26/6/24,18402,40,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Bunger Steel,www.bungersteel.com,Construction, United States,"Bunger Steel, Inc is a privately held corporation. Established 1974, since conception Bunger Steel, Inc. has been family owned and operated. Today, Bunger Steel is Arizona's largest steel building and components vendor and has over 40,000 projects constructed in the Southwest United States.",26/6/24,18345,131,"['PII', 'Customer and Client Data', 'Financial Data']",Play
World inquest,www.inquesttechnologies.com,Software Development, United Kingdom,World inquest Ltd is a company that operates in the Computer Software industry.,28/6/24,18382,35,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Hedrick Brothers Construction,www.hedrickbrothers.com,Construction, United States,"Hedrick Brothers Construction provides pre-construction, general contracting, construction management, and design-build services for luxury residen tial, commercial, municipal, industrial, and educational markets.",28/6/24,18390,296,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Belle Tire,www.belletire.com,Retail, United States,"Belle Tire is an American tire, wheel and automotive service retailer.The company is headquartered in Allen Park, Michigan and was founded in 1922.",28/6/24,18321,549,"['PII', 'Customer and Client Data', 'Financial Data']",Play
